ticker_code,stock_code,stock_name,market
9928.TW,9928,中視,TWSE
9929.TW,9929,秋雨,TWSE
9930.TW,9930,中聯資源,TWSE
9931.TW,9931,欣高,TWSE
9933.TW,9933,中鼎,TWSE
9934.TW,9934,成霖,TWSE
9935.TW,9935,慶豐富,TWSE
9937.TW,9937,全國,TWSE
9938.TW,9938,百和,TWSE
9939.TW,9939,宏全,TWSE
9940.TW,9940,信義,TWSE
9941.TW,9941,裕融,TWSE
9942.TW,9942,茂順,TWSE
9943.TW,9943,好樂迪,TWSE
9944.TW,9944,新麗,TWSE
9945.TW,9945,潤泰新,TWSE
9946.TW,9946,三發地產,TWSE
9949.TW,9949,琉園,TPEx
9950.TW,9950,萬國通,TPEx
9951.TW,9951,皇田,TPEx
9955.TW,9955,佳龍,TWSE
9958.TW,9958,世紀鋼,TWSE
9960.TW,9960,邁達康,TPEx
9962.TW,9962,有益,TPEx
